code,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth (annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs),Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
MYS,46.2,30.3,0.802,,59.8,863.3,27267.0,5.0,4.0,1064.0,5.2,583.0,13.0,3.3,81.3,24.9,4.0,4.0,0.16,0.8,0.7,0.41,0.03,65.2,54.8,83.8,85.6,74.5,50.0,10.4,72.72,88.52,76.72,52.91,91.85,96.83,93.93,71.49,88.55,73.45,65.55,79.33,58.9,66.37,40.98,45.4,2.5,48.18,8.3,17.499000000000002,109.975,96.4338,93.62,99.574,1.1236700000000002,100.0,5.88352,1.05715,1.92,0.757942,2.0,25.6187,93.1179,98.9133,85.1648,1.06365,2.8094099999999997,140.803,78.7883,0.67797,48.0,19.8768,371.35400000000004,65.035,3.2140400000000002,55.9358,82.3,433.285,17.0,18.0,0.5141180000000001,2.3242,0.591957,3.78617,21.5,6.0,54.5,47.0,20.9722995758057,6.2,1.7561200000000001,2.36532,1.2541200000000001,0.6,11.93,16,30.0
MYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.15,96.3,76.8768,,,,,5.93,,,,,,,,,,,,,,,,,,,,12.92,,,,,,,,,,,,,,,,,0,0.0
NAM,59.7,21.6,0.647,4.44,39.1,26.0,11290.0,4.5,8.9,942.0,,,,25.6,50.4,40.7,2.0,2.0,0.65,0.2,-0.2,0.24,0.32,54.2,45.4,56.6,63.0,58.5,40.0,41.3,,60.97,,55.52,71.71,49.42,67.87,54.9,,55.85,55.67,75.32,83.46,72.03,51.82,14.78,28.8,116.555,45.2,20.539,448.70300000000003,78.7872,72.9723,33.8368,75.9128,51.7824,5.4712,75.8902,16.93,0.899128,3.0,32.5189,88.2746,91.1345,,,1.7468299999999999,107.26899999999999,31.0333,0.23729,62.6667,18.2506,412.195,56.005,2.59654,63.2741,69.91,469.04400000000004,17.0,30.0,0.838393,3.85995,0.7509020000000001,4.23153,29.3,5.0,77.3,51.0,29.2514991760254,5.5,2.45454,2.05295,2.42694,0.06,9.79,0,0.0
NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,98.9849,97.9697,100.0,,100.0,,,3.29,,,,,,,,,,,,,,,,,,,,17.0,,,,,,9.8,,,,,,,,,,,0,0.0
NCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,36.1870994567871,,,,,,,0,0.0
NER,34.0,16.8,0.354,4.62,,20.1,1107.0,4.0,7.2,68.0,6.7,29.0,5.0,2.6,72.9,30.1,4.0,4.0,-1.3,-0.7,-0.7,-0.68,-0.65,32.6,30.4,37.4,73.3,49.5,40.0,17.0,36.69,43.01,32.21,34.86,57.42,20.44,25.95,68.25,30.8,26.95,44.48,26.59,75.81,19.12,41.95,2.56,11.3,430.184,91.3,43.833999999999996,555.7769999999999,45.8354,31.4732,12.9373,84.8371,16.2172,,179.65,4.47,0.867648,3.0,16.1783,15.4567,63.7948,23.5974,0.72597,1.2514,42.1806,4.32276,0.08475,48.0,17.1328,441.046,43.11,1.74954,157.875,0.0,1623.1,17.0,20.0,0.829026,3.5729800000000003,0.813327,3.5911,91.3,61.0,46.2,33.0,10.159399986267099,7.7,1.9644,2.16085,2.39846,0.04,1.41,0,0.0
NGA,48.8,22.2,0.532,5.32,26.5,1091.2,5942.0,2.7,3.6,215.0,,,9.0,5.0,96.3,11.0,3.0,5.0,-1.94,-1.0,-0.9,-0.87,-1.07,39.6,14.4,38.0,84.4,58.5,40.0,5.6,49.27,50.32,55.72,41.77,64.48,41.98,47.1,47.74,52.75,51.32,55.21,63.59,77.9,42.14,31.55,15.48,7.9,259.22,104.3,33.165,484.48900000000003,67.345,10.1837,32.601,35.665,59.3,1.42239,87.7718,9.79,0.611484,5.0,14.4175,51.0777,65.9488,56.1799,0.9099200000000001,1.11362,82.9843,25.67,0.35593,56.6667,20.3014,252.377,48.668,1.43565,93.4942,30.76,303.823,13.354000000000001,25.0,0.840101,3.1291700000000002,0.800837,4.08484,33.0,29.0,33.5,27.0,10.6541996002197,9.3,1.61801,1.35856,2.23223,,6.77,1,0.0
NIC,47.1,38.7,0.6579999999999999,6.48,43.5,33.6,5452.0,4.5,7.8,406.0,,,,5.9,80.0,25.8,5.0,4.0,-0.05,-0.6,-0.7,-0.64,-0.87,19.0,24.2,29.8,77.2,58.9,50.0,45.7,62.87,75.39,69.55,43.66,87.13,76.8,77.32,60.31,76.56,61.04,71.23,69.38,60.52,53.57,40.76,19.8,17.0,62.567,19.7,15.783,30.9078,82.2562,69.6304,76.3492,15.2026,81.7968,4.4130400000000005,27.5429,11.49,0.664211,3.0,14.3403,,98.4103,74.1885,1.1281299999999999,1.30292,125.945,24.5718,0.40678000000000003,72.7778,23.619,233.387,65.41199999999999,2.23422,26.619,0.0,504.435,16.0813,12.0,0.496382,2.9927,0.597305,3.9872,42.4,30.0,89.5,26.0,50.0978012084961,6.2,1.97402,1.38804,1.0612700000000002,0.5,9.04,0,0.0
NIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,98.1987,86.8989,96.7715,,,,,3.07,,,,,97.2662,109.639,1.09684,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,0,0.0
NLD,30.3,35.3,0.9309999999999999,7.46,80.3,869.4,51049.0,1.9,10.7,5313.0,5.5,2884.0,18.0,6.2,39.1,45.0,1.0,1.0,0.92,1.9,2.1,1.83,1.87,74.1,86.0,87.9,52.5,76.2,80.0,36.0,89.34,96.41,91.65,79.97,98.75,99.47,98.8,88.62,96.38,96.56,85.35,88.3,96.56,88.81,78.03,56.49,2.5,5.851,3.8,1.092,26.1019,100.0,100.0,97.727,0.0,100.0,6.7796,0.20993,0.61,0.969198,2.0,4.32264,,97.6871,132.692,1.0165899999999999,3.42476,122.97399999999999,90.411,0.94915,100.0,24.0133,222.745,82.605,3.7739999999999996,20.4254,99.9,233.93200000000002,11.3254,40.0,0.951533,3.87249,0.957003,4.78828,12.7,0.0,86.3,82.0,90.37830352783199,4.5,3.13459,3.4159800000000002,2.9085900000000002,0.98,14.69,26,30.0
NOR,26.8,36.8,0.953,7.58,85.3,364.4,69250.0,1.6,10.0,6222.0,7.7,7466.0,18.0,4.8,29.2,48.6,1.0,1.0,1.15,2.0,1.8,2.02,2.24,86.0,93.6,86.4,56.4,74.3,60.0,39.6,90.26,96.62,93.19,80.97,99.0,99.54,99.24,88.69,98.43,92.8,87.35,94.16,98.09,90.76,81.73,53.31,2.5,3.5589999999999997,2.6,1.115,22.1066,100.0,100.0,98.0586,0.0,100.0,6.86563,0.361655,0.56,0.968765,2.0,4.5445,,99.8895,114.277,0.97045,3.88024,109.037,97.2982,0.76271,96.3333,24.4358,196.537,84.069,3.7949699999999997,12.0346,96.11,144.211,16.2649,40.0,0.9794309999999999,3.9088,0.976634,4.87635,5.2,0.0,84.3,85.0,88.9010009765625,3.4,3.60607,2.98435,3.18915,0.97,15.42,9,30.0
NPL,32.8,30.5,0.574,4.74,41.7,71.5,2479.0,3.4,6.1,151.0,4.0,28.0,12.0,3.2,87.6,20.3,3.0,4.0,-0.66,-0.9,-0.7,-0.68,-0.75,36.2,24.6,37.5,84.2,54.1,30.0,29.6,56.07,67.88,55.73,44.62,77.78,61.28,59.19,73.27,67.81,59.88,46.97,48.25,71.76,40.7,59.36,6.65,8.1,231.875,34.5,33.71,176.058,87.7467,47.7308,46.1266,35.2935,90.7,2.83433,126.37700000000001,2.27,0.7741060000000001,2.0,20.9468,59.6273,94.8362,71.2095,1.11035,0.92558,110.82600000000001,19.6888,0.50847,63.8333,18.4734,491.347,52.94,1.18625,121.67,0.0,584.572,12.9662,25.0,0.8218610000000001,3.34332,0.801848,2.60627,76.1,29.0,60.5,31.0,86.4068984985352,9.59838,2.84915,2.43265,2.63654,0.11,3.6,0,0.0
NRU,,,,,,,,,4.8,1064.0,,,9.0,,,,2.0,2.0,0.57,-0.4,-1.1,-0.73,-0.47,,,,,,,10.5,,,,,,,,,,,,,,,,,,,34.6,,,100.0,68.4406,65.5955,,99.2028,,,1.31,,,,,87.3298,77.743,1.03231,,87.2477,,0.08475,,,,,,,,359.94199999999995,0.0,35.0,,,,,,,,,,,,,,,,0,0.0
NZL,36.2,31.3,0.917,7.33,78.6,177.0,37294.0,3.4,9.3,3530.0,6.4,2832.0,19.0,5.2,49.5,41.0,1.0,1.0,1.59,1.8,2.1,1.92,2.24,88.4,95.7,95.1,70.5,84.2,80.0,34.2,89.12,96.81,90.62,79.91,98.11,100.0,97.41,91.74,95.61,95.19,83.27,88.43,96.91,86.71,72.64,63.38,2.5,12.005999999999998,5.4,3.1069999999999998,12.4403,100.0,100.0,100.0,0.0,100.0,6.51924,0.24624200000000002,0.91,0.9604389999999999,1.0,8.56294,,98.5227,114.33200000000001,1.06132,3.57829,124.441,88.4702,0.94915,96.6,24.4641,222.708,78.30199999999999,3.49355,7.9134899999999995,96.16,487.272,15.3118,40.0,0.965784,3.85185,0.9510549999999999,4.8514,11.9,8.0,84.7,89.0,76.2114028930664,3.3,3.0992,2.62412,2.7866,1.19,15.04,15,50.0
OMN,,21.1,0.821,,62.1,184.8,46698.0,4.1,2.7,1636.0,,,14.0,17.5,25.0,50.0,6.0,5.0,0.74,0.2,0.4,0.43,0.25,57.4,51.5,59.5,98.5,61.0,60.0,1.2,68.16,86.31,75.83,42.33,93.82,93.72,95.63,62.07,92.4,77.28,73.43,60.21,46.84,64.79,35.87,21.81,6.2,8.995,10.7,11.309000000000001,42.0594,90.9437,87.7481,99.3181,0.0,100.0,6.21298,1.4761,1.06,0.765532,2.0,51.4506,93.0386,99.8198,107.133,0.94119,2.9081200000000003,155.178,69.9292,0.5593199999999999,,21.1108,335.712,75.803,3.39327,71.7075,68.37,666.248,2.5717,6.0,0.192607,2.1465400000000003,0.721677,3.3033900000000003,10.1,4.0,38.0,44.0,,2.6,0.873014,1.28865,1.3795,,8.19,1,10.0
PAK,30.7,31.5,0.562,5.83,27.9,988.2,5106.0,4.2,2.7,134.0,2.5,32.0,8.0,5.9,88.2,19.8,4.0,5.0,-2.4,-0.6,-0.6,-0.72,-0.78,34.0,27.3,36.0,78.5,54.4,40.0,20.6,49.18,60.73,48.09,38.72,65.88,65.69,64.77,46.6,53.61,47.24,38.06,53.44,54.41,51.0,27.11,22.36,19.9,291.064,78.8,40.674,159.60299999999998,88.5456,32.9938,58.2514,18.8532,99.1474,2.94996,106.98299999999999,7.81,0.426966,4.0,24.9504,56.9771,84.0676,46.1092,0.81062,0.557359,70.6452,15.5146,0.37288000000000004,60.8333,17.8046,617.995,43.825,0.897468,125.985,26.03,392.63,10.6911,19.0,0.622421,1.7488700000000001,0.34139,3.95295,59.0,11.0,51.7,32.0,11.840600013732901,9.7,1.3917,0.687974,2.52513,0.19,4.26,13,10.0
PAN,50.7,39.5,0.789,6.57,54.5,92.9,23024.0,5.8,7.0,1543.0,,,13.0,5.8,84.1,23.1,2.0,2.0,0.39,0.0,0.4,0.04,-0.54,29.4,38.8,60.9,85.0,67.0,70.0,18.3,72.16,82.52,76.64,57.31,89.69,88.32,87.44,64.65,83.5,62.76,72.19,88.13,89.15,59.7,50.32,30.06,9.3,69.548,16.4,15.377,48.2488,95.0002,92.0686,76.867,9.39448,93.4178,5.18853,7.59192,11.38,0.9087270000000001,3.0,15.7937,94.0941,89.7076,75.8021,1.05334,2.7774,127.45700000000001,54.0,0.37288000000000004,56.5,24.2814,226.96200000000002,63.243,2.35405,19.6613,78.12,228.898,15.9453,35.0,0.8271069999999999,3.7915,0.81572,4.8557,27.9,22.0,74.4,37.0,36.9040985107422,5.60614,2.17382,1.6678099999999998,2.7353400000000003,0.89,12.46,0,0.0
PER,45.3,34.6,0.75,5.71,49.3,406.2,12903.0,3.3,5.3,671.0,3.7,240.0,13.0,4.9,85.6,21.9,2.0,3.0,-0.26,-0.1,0.4,-0.5,-0.5,33.5,36.6,56.9,80.6,68.7,60.0,27.7,70.09,78.71,76.9,54.67,89.25,81.19,85.32,59.09,87.48,62.72,70.61,86.79,78.03,56.62,48.78,35.24,7.9,67.369,15.3,17.296,87.23299999999999,89.8676,82.9672,76.8155,20.778000000000002,94.8517,5.07111,22.929000000000002,7.16,0.813729,4.0,15.4346,94.1737,99.5402,98.0148,0.9969399999999999,1.05034,116.238,45.4617,0.54237,49.0,24.165,183.922,66.525,1.49243,31.8242,88.49,250.727,15.3496,31.0,0.8946629999999999,3.7020699999999995,0.5881890000000001,3.5915,46.1,16.0,66.7,37.0,32.7895011901855,7.7,2.2198900000000004,2.79546,1.93892,0.74,11.57,3,10.0
PHL,44.4,35.0,0.6990000000000001,5.59,44.5,805.2,7728.0,5.8,4.4,323.0,,,13.0,5.9,89.3,18.9,3.0,3.0,-1.24,-0.1,0.0,-0.41,-0.48,38.2,34.4,45.0,78.9,65.0,60.0,29.5,63.36,68.91,67.56,53.62,80.33,75.65,68.26,51.4,81.65,74.54,42.7,71.33,80.59,60.44,39.57,33.88,13.8,73.998,27.1,31.399,213.09799999999998,90.50299999999999,43.4782,74.9769,8.19974,90.9816,4.21191,113.171,9.84,0.44892600000000005,4.0,12.5879,96.398,97.8264,88.3348,1.08592,0.8709969999999999,109.369,55.5,0.59322,79.7143,17.8064,538.9159999999999,50.266000000000005,0.9618180000000001,87.353,60.34,275.514,15.1721,27.0,0.712226,3.54465,0.7531260000000001,4.76207,35.8,5.0,55.6,34.0,60.1649017333984,8.2,2.29485,1.33615,0.852532,0.7,11.82,5,0.0
PLW,,,0.7979999999999999,,,,,,10.6,1611.0,,,17.0,,,,1.0,1.0,0.94,-0.2,-0.6,0.28,-0.47,,,,,,,12.5,,,,,,99.74,,,,,,,,,,,,,15.9,,,99.5751,99.5296,100.0,0.0,99.2894,,,3.11,,,,96.5937,99.4074,115.23,1.05329,,,,0.0339,,,,,,,40.0,1547.6,17.0,37.0,,,,,,,,,,,,,,,,0,0.0
PNG,50.9,,0.544,,,28.0,3541.0,9.0,3.8,99.0,,,,2.5,82.0,24.5,3.0,3.0,-0.58,-0.7,-0.7,-0.82,-0.9,55.1,33.1,38.0,71.1,55.7,30.0,0.0,38.11,38.43,34.1,41.81,61.99,35.42,11.97,44.34,48.82,30.11,15.34,42.1,74.48,49.63,33.83,9.3,,384.154,54.3,46.711999999999996,257.184,36.5963,20.2976,18.6042,14.2661,22.9322,,259.887,10.42,0.632149,4.0,36.0287,,85.4031,39.7799,0.7510899999999999,0.288765,46.778,9.60154,0.20339000000000002,40.3333,13.9556,1152.6,39.445,0.500605,93.4911,0.0,825.9830000000001,2.41732,25.0,0.778717,3.71688,0.530197,4.088030000000001,47.6,16.0,49.1,29.0,,6.0,0.777637,1.46243,2.52334,0.05,6.04,0,0.0
POL,30.8,27.5,0.865,6.2,67.7,1054.1,27764.0,3.6,6.3,1704.0,4.9,705.0,16.0,6.2,47.8,41.7,1.0,2.0,0.52,0.6,0.9,0.47,0.73,56.6,50.9,61.8,75.9,68.5,70.0,28.0,81.21,92.75,85.02,65.85,97.21,98.13,91.53,84.13,95.24,89.47,70.99,84.37,84.05,76.34,54.27,48.74,2.5,4.445,4.7,7.172000000000001,19.6545,97.8886,97.147,98.1327,0.0,100.0,5.52281,4.8499,0.74,0.9149889999999999,2.0,10.9382,,95.5969,107.07600000000001,0.9723799999999999,3.4524,138.66,73.3007,0.88136,94.5,22.0223,372.63300000000004,72.59,2.9498,42.4119,92.35,381.34,17.0,36.0,0.733005,3.4563599999999997,0.8090069999999999,4.47032,16.8,2.0,68.2,60.0,20.6837005615234,5.9,2.42828,2.90048,2.42157,0.77,14.78,15,20.0
PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.93,,,,,,,,,,,,,,42.3431,97.1172,94.2344,97.1573,,100.0,5.10813,0.086528,15.86,,,12.3204,91.9652,81.6438,86.5018,1.0650700000000002,,88.6658,80.32,,,23.3902,,,,24.982,,,7.5759,,,,,,13.7,,83.9,63.0,72.9157028198242,,,,,,,1,20.0
PRK,,,,,,15.1,,1.0,,,,,11.0,4.3,0.0,,7.0,7.0,-0.48,-1.7,-2.3,-1.71,-1.48,5.0,25.2,29.8,0.0,5.8,0.0,16.3,,60.57,,32.53,75.13,92.23,34.82,40.12,92.7,4.51,48.27,,3.62,68.82,33.5,24.18,40.8,78.512,20.0,30.526,45.4591,99.6246,89.8982,77.1347,0.0,39.2442,,175.12599999999998,4.41,0.075589,4.0,29.7355,99.9982,97.7928,92.988,1.0110700000000001,2.7318599999999997,14.2144,,0.01695,1.5,18.4917,625.231,56.574,1.90168,103.029,,,2.82155,0.0,0.01842,0.29590500000000003,0.023767,0.27058699999999997,21.7,0.0,85.5,17.0,,5.8,2.08586,0.713259,1.0947799999999999,,11.57,0,0.0
PRT,33.9,24.8,0.847,5.71,70.8,298.7,28933.0,1.5,9.0,2661.0,5.1,1131.0,17.0,11.2,29.8,48.4,1.0,1.0,1.08,1.3,0.9,1.13,0.87,70.1,56.8,69.2,59.8,63.4,60.0,34.8,85.36,94.85,87.03,74.18,98.5,99.81,95.72,85.39,93.47,81.06,81.38,92.22,97.69,79.36,72.89,46.78,2.5,10.235,3.5,1.463,32.9497,99.9046,99.9046,99.4421,0.0,100.0,6.22117,1.10451,0.97,0.980978,2.0,9.54833,94.4771,97.6952,117.50299999999999,0.9734200000000001,3.0148099999999998,111.574,70.4236,0.6610199999999999,85.0,24.031999999999996,227.06599999999997,77.366,3.3328699999999998,15.53,93.82,227.525,17.0,39.0,0.97362,3.96316,0.9737299999999999,4.85767,12.9,5.0,79.1,63.0,54.228199005127,2.2,2.37113,3.03209,3.7079800000000005,0.39,11.54,13,50.0
PRY,51.7,23.3,0.7020000000000001,,46.2,64.4,9396.0,3.0,7.8,724.0,,,12.0,5.4,82.2,24.4,3.0,3.0,0.12,-0.8,-0.2,-0.65,-0.72,28.2,28.3,38.3,96.1,62.1,60.0,13.8,64.7,79.28,65.9,48.92,89.94,95.04,72.22,59.92,75.91,66.3,52.23,69.18,76.18,61.88,38.52,19.11,12.0,97.426,19.9,6.795,51.6856,98.8853,89.4133,91.2222,0.42766000000000004,98.4,2.61136,31.4946,9.29,0.873276,3.0,27.1092,95.0727,90.6581,76.5744,1.06562,0.603384,111.363,51.3499,0.57627,54.2,20.5273,384.958,56.226000000000006,0.701216,43.7549,46.8,716.556,14.4752,27.0,0.79,3.81935,0.490266,4.27718,39.3,13.0,84.6,29.0,31.4213008880615,5.5,1.6622599999999998,1.44297,1.33131,0.33,10.21,0,0.0
PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,100.0,100.0,96.8546,,100.0,,,0.38,,,,,,,,,99.9654,68.4404,,,,,,,,,,1.48464,,,,,,12.3,,,,,,,,,,,0,0.0
QAT,,,0.856,,70.8,329.2,127660.0,3.3,2.7,3900.0,3.6,3131.0,13.0,0.2,60.2,36.4,6.0,5.0,0.55,0.7,0.4,0.72,0.73,59.8,71.6,70.3,99.6,72.6,60.0,0.0,70.64,88.48,80.06,43.38,95.7,98.48,97.08,62.66,88.86,74.13,81.59,75.65,37.11,72.1,23.35,40.95,,21.147,8.5,7.19,13.9671,100.0,93.2,100.0,,100.0,6.45207,0.009621,8.1,0.80874,2.0,33.3757,97.7467,97.9489,92.5332,1.1738,3.4229199999999995,142.135,94.2911,0.64407,40.0,23.3247,218.19,77.582,3.59774,51.6698,96.13,307.043,4.06668,7.0,0.1729,1.1568399999999999,0.513588,3.17385,0.2,18.0,63.9,63.0,,4.3,1.09863,0.925473,0.114685,0.5,10.82,2,50.0
REU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,99.5,98.975,,,,,1.82,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,87.0,,,,,,,0.1,,0,0.0
ROU,27.3,28.8,0.8109999999999999,6.09,60.0,441.6,22348.0,3.7,10.6,1090.0,3.1,313.0,15.0,6.4,66.9,33.2,2.0,2.0,0.06,-0.2,0.5,0.39,-0.03,59.7,40.0,61.0,87.3,69.4,50.0,20.7,74.51,86.33,76.75,60.44,95.0,87.24,88.18,74.91,87.09,77.97,59.35,82.58,85.78,71.92,45.31,38.75,2.5,19.139,9.0,12.119000000000002,27.628,100.0,62.07,81.8127,0.0,100.0,5.15875,16.1219,1.49,0.8838299999999999,3.0,11.912,98.6043,92.9852,88.9491,0.99231,1.9262700000000001,115.785,59.504,0.62712,86.0,20.2425,451.255,66.681,1.91113,51.0658,83.95,277.85200000000003,16.1633,35.0,0.8226040000000001,3.5398699999999996,0.745527,4.7224900000000005,25.4,3.0,73.0,48.0,17.9381008148193,6.5,1.8395700000000001,1.92534,2.83604,0.44,13.8,5,20.0
RUS,41.2,18.7,0.816,5.58,57.0,3799.7,26490.0,-3.7,7.0,1414.0,,,15.0,5.7,62.5,35.3,7.0,6.0,-0.67,-0.1,-0.5,-0.79,-0.89,46.9,38.1,48.7,85.8,58.2,30.0,15.8,70.16,81.36,73.94,55.18,95.52,94.32,89.86,45.74,94.44,72.36,56.03,72.95,52.87,68.47,33.69,65.67,2.5,16.792,7.7,10.08,41.5992,96.3751,92.4086,88.7867,0.0,100.0,5.1151800000000005,0.8818809999999999,11.31,0.364194,4.0,19.8304,99.6843,99.6611,104.80799999999999,0.9854200000000001,2.65384,159.155,73.0914,0.7457600000000001,43.0,18.9708,598.214,63.093999999999994,2.78831,60.6893,96.53,588.164,9.451130000000001,5.0,0.37130599999999997,2.78009,0.37256100000000003,4.679930000000001,6.3,8.0,72.9,29.0,7.821499824523929,8.5,1.56977,1.32945,2.58129,1.93,14.67,40,10.0
RWA,50.4,19.6,0.524,,38.0,22.8,1977.0,6.9,3.8,143.0,,,11.0,2.5,77.7,27.2,6.0,6.0,0.04,0.3,0.2,0.13,0.63,79.6,61.2,69.8,75.8,69.1,40.0,61.3,52.14,57.42,58.91,40.09,64.2,61.0,49.84,54.64,71.86,52.67,53.02,58.08,59.81,60.54,31.37,8.64,41.1,220.107,38.5,34.806999999999995,344.426,56.7101,40.2742,62.3478,2.26762,29.37,4.36067,118.926,4.51,0.387988,3.0,24.8677,68.331,96.2354,36.6499,1.09809,3.1162799999999997,74.8607,20.0,0.49153,62.6667,18.1543,380.44599999999997,52.353,2.1667,72.9504,0.0,367.089,8.73339,8.0,0.42514700000000005,3.39089,0.78508,3.27632,78.4,4.0,68.0,55.0,7.566800117492679,9.69995,2.70416,1.39026,0.8994479999999999,0.06,5.48,0,0.0
SAU,45.9,,0.853,6.29,62.6,1750.9,55158.0,3.4,6.3,3121.0,,,16.0,5.5,52.0,40.0,7.0,7.0,-0.62,0.3,0.0,0.1,0.36,60.2,49.9,53.1,99.7,59.6,50.0,19.9,64.75,85.3,74.82,34.13,95.18,99.51,95.41,51.1,87.06,75.2,71.64,65.37,17.26,68.58,13.87,36.82,4.4,9.25,12.9,6.295,58.0019,99.9929,97.8308,100.0,,100.0,6.15765,0.8292120000000001,1.5,0.271847,3.0,37.495,94.4263,98.8755,116.647,0.77303,3.16704,148.51,73.7509,0.71186,55.9375,20.2564,273.978,72.898,3.2370400000000004,94.2622,87.79,379.414,4.38589,0.0,0.126485,0.230753,0.30490300000000004,1.63864,3.1,4.0,41.5,49.0,,8.1,0.315868,0.854925,0.758201,0.46,9.61,14,20.0
SDN,,,0.502,,26.5,176.1,4447.0,3.5,6.3,277.0,,,7.0,13.3,95.3,12.5,7.0,7.0,-2.01,-1.4,-0.6,-1.11,-1.54,21.4,21.2,27.8,85.9,49.4,20.0,30.5,38.85,49.86,43.52,23.17,67.59,46.13,49.38,36.35,47.07,43.28,43.42,40.29,30.38,40.04,12.23,10.02,25.6,321.842,65.1,31.701,140.469,58.9314,44.1831,34.5861,38.4889,38.5284,,102.189,6.45,0.303087,4.0,44.4119,53.5174,56.4043,45.8303,0.98715,0.223095,70.258,28.0,0.25424,46.0,18.8918,493.37800000000004,47.783,0.663979,111.177,0.0,722.48,1.9859200000000001,4.0,0.251313,1.38391,0.298347,2.3127400000000002,39.4,24.0,33.3,16.0,6.75089979171753,9.9991,1.10027,0.414326,0.35281999999999997,0.14,5.67,0,0.0
SEN,40.3,21.9,0.505,4.68,38.4,39.7,2577.0,6.5,9.0,97.0,7.4,78.0,9.0,9.5,72.7,30.2,2.0,2.0,-0.04,-0.3,-0.2,-0.15,-0.09,40.4,42.6,41.3,68.5,55.7,40.0,41.8,55.47,66.12,54.45,45.83,74.13,64.93,55.44,69.97,58.17,56.14,45.75,57.75,83.41,44.65,49.46,5.81,11.3,354.67900000000003,47.1,17.926,343.455,75.1886,70.443,48.3581,25.453000000000003,64.5,3.59533,125.81299999999999,7.3,0.8645129999999999,2.0,20.6875,42.8175,72.34,48.1149,1.01126,2.07255,98.5392,25.6648,0.38983,56.5385,17.0442,510.728,45.273,2.2757400000000003,104.914,42.69,783.755,17.0,31.0,0.937627,3.37699,0.825567,3.93405,67.6,25.0,46.2,45.0,3.03740000724792,6.1,2.29672,2.34804,2.9435599999999997,0.1,3.11,0,0.0
